ID,Start time,Completion time,How often do you change the air flow in your car?,"Lets say that you are sitting in your car, ready to drive to work, and you think it blows too much from the air vents, what do you do?","When you change, do you usually change to","Lets say that you are sitting in your car, ready to drive to work, and you think it blows too much from the air vents, what do you do?2",What kind of car do you drive the most?,"Lets say that you are sitting in your car, ready to drive to work, and you think it blows too much from the air vents, what do you do?3",What direction du you usually move them?,"If you change, what is usually the main reason?2",How is the weather where you live?,Which air vents do you usually move away from you?,"When you move the air, which air vents do you change?",Which air vents do you usually change?,Which air vents do you usually move away from you?3,Which air vents do you usually move away from you?2,Which air vents do you usually change?,Which air vents do you usually change?2,Which city do you live in?
1,1/13/22 17:24:56,1/13/22 17:27:40,Often,,,,XC90,Change the air intensity using the center display,,Too high air intensity;i like to have a quite car that is why i usually turn down the air intesity on level 1 and automatic  air distribution.;,Cold : often below +15°C / 59°F,,,,,,,,Göteborg
2,1/13/22 17:25:55,1/13/22 17:27:50,Sometimes,Change the air intensity using the center display,,,V90 / S90,,Left,Warm air blowing on you as the car is heating up;,Cold : often below +15°C / 59°F,,,,,A;B;,,,Goteborg
3,1/13/22 17:30:25,1/13/22 17:32:02,Rarely,,,,XC90,Change the air intensity using the center display,,You are warm and want more cold air blowing on you;,Cold : often below +15°C / 59°F,,,,,,,,Åsa
4,1/13/22 17:31:51,1/13/22 17:33:38,Rarely,,,,XC90,Change the air intensity using the center display,,Cold air blowing on you as the car is cooling down;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,,,,Göteborg 
5,1/13/22 17:31:46,1/13/22 17:34:08,Sometimes,Move the air away from you,,,V90 / S90,,Right,You are warm and want more cold air blowing on you;Your eyes get dry;Too low air intensity;,Cold : often below +15°C / 59°F,,,,,B;C;,,,Göteborg
6,1/13/22 17:32:28,1/13/22 17:38:16,Sometimes,Move the air away from you,,,V90 / S90,,Up,Cold air blowing on you as the car is cooling down;, mixed -10 to +25 C,,,,,B;,,,Mölndal
7,1/13/22 17:36:55,1/13/22 17:38:29,Rarely,Change the air intensity using the center display,,,V90 / S90,,"A -> left, B ->right",You are warm and want more cold air blowing on you;,Cold : often below +15°C / 59°F,,,,,A;B;,,,Gothenburg
8,1/13/22 17:37:46,1/13/22 17:39:10,Sometimes,,No air,,XC90,Change the air intensity using the air vents,,Cold air blowing on you as the car is cooling down;,Cold : often below +15°C / 59°F,,,,,,,A;B;,Gothenburg
9,1/13/22 17:54:32,1/13/22 17:56:07,Rarely,,,,XC90,Change the air intensity using the center display,,Cold air blowing on you as the car is cooling down;,Cold : often below +15°C / 59°F,,,,,,,,"Uddevalla, Sweden"
10,1/13/22 17:57:53,1/13/22 18:00:26,Rarely,,,,XC90,Move the air away from you,Up,You are warm and want more cold air blowing on you;Warm air blowing on you as the car is heating up;,Cold : often below +15°C / 59°F,B;C;,,,,,,,Varberg
11,1/13/22 17:58:57,1/13/22 18:03:48,Sometimes,,,,XC90,Change the air intensity using the center display,,You are warm and want more cold air blowing on you;,Cold : often below +15°C / 59°F,,,,,,,,Göteborg och 
12,1/13/22 18:18:03,1/13/22 18:19:51,Rarely,Move the air away from you,,,V90 / S90,,Right,You are warm and want more cold air blowing on you;,Cold : often below +15°C / 59°F,,,,,B;,,,Gothenburg 
13,1/13/22 18:20:35,1/13/22 18:24:08,Rarely,,,,XC90,Change the air intensity using the center display,,It’s a bit noisy or the the cold air is too “focused” from the airvents ;,Cold : often below +15°C / 59°F,,,,,,,,Göteborg
14,1/13/22 18:45:44,1/13/22 18:47:13,Rarely,Change the air intensity using the center display,,,V60 / S60 / XC60,,Right,Too high air intensity;,Cold : often below +15°C / 59°F,,,,,B;,,,Gothenburg 
15,1/13/22 18:47:11,1/13/22 18:48:25,Rarely,,,,XC90,Move the air away from you,Down,Your eyes get dry;Too high air intensity;,Cold : often below +15°C / 59°F,A;B;,,,,,,,Gothenburg
16,1/13/22 18:46:55,1/13/22 18:49:16,Sometimes,Move the air away from you,,,V90 / S90,,Right,You are warm and want more cold air blowing on you;,Cold : often below +15°C / 59°F,,,,,B;,,,Kungsbacka
17,1/13/22 18:46:18,1/13/22 18:50:54,Sometimes,Change the air intensity using the center display,,,V90 / S90,,left and right,You are warm and want more cold air blowing on you;,Cold : often below +15°C / 59°F,,,,,A;D;,,,Gothenburg
18,1/13/22 18:51:32,1/13/22 18:53:16,Rarely,Move the air away from you,,,V60 / S60 / XC60,,Right,Cold air blowing on you as the car is cooling down;,Cold : often below +15°C / 59°F,,,,,B;,,,Gothenburg
19,1/13/22 18:51:29,1/13/22 18:54:14,Sometimes,Move the air away from you,,,V60 / S60 / XC60,,Right,Your eyes get dry;Too high air intensity;,Cold : often below +15°C / 59°F,,,,,A;D;,,,Gothenburg
20,1/13/22 18:51:44,1/13/22 18:54:34,Rarely,Move the air away from you,,,V60 / S60 / XC60,,Right,You are warm and want more cold air blowing on you;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,B;A;,,,Gothenburg
21,1/13/22 18:53:00,1/13/22 18:55:00,Sometimes,Change the air intensity using the center display,,,V60 / S60 / XC60,,Left,Too high air intensity;,Cold : often below +15°C / 59°F,,,,,A;,,,Landvetter
22,1/13/22 18:56:45,1/13/22 18:58:50,Rarely,Move the air away from you,,,V60 / S60 / XC60,,Right,You are cold and want more warm air blowing on you;,Cold : often below +15°C / 59°F,,,,,B;,,,Bohus-Björkö
23,1/13/22 19:00:07,1/13/22 19:03:55,Rarely,Change the air intensity using the center display,,,V90 / S90,,I almost never move them so I cant say,Too high air intensity;You are warm and want more cold air blowing on you;,Cold : often below +15°C / 59°F,,,,,A;,,,Göteborg
24,1/13/22 19:02:47,1/13/22 19:05:42,Rarely,Change the air intensity using the center display,,,V60 / S60 / XC60,,Left,You are warm and want more cold air blowing on you;,Cold : often below +15°C / 59°F,,,,,A;,,,Alingsås
25,1/13/22 19:05:30,1/13/22 19:07:38,Sometimes,,,,XC90,Move the air away from you,Left,Too high air intensity;,Cold : often below +15°C / 59°F,A;B;,,,,,,,Gothenburg 
26,1/13/22 19:11:20,1/13/22 19:14:56,Rarely,Move the air away from you,,,V60 / S60 / XC60,, Right and down,Warm air blowing on you as the car is heating up;,Cold : often below +15°C / 59°F,,,,,B;,,,Hindås
27,1/13/22 19:24:21,1/13/22 19:27:10,Sometimes,,,Move the air away from you,XC40,,Right,Your eyes get dry;,Cold : often below +15°C / 59°F,,,,A;B;,,,,Olofström
28,1/13/22 19:45:37,1/13/22 19:47:48,Rarely,,,,XC90,Move the air away from you,Left,You are warm and want more cold air blowing on you;,Cold : often below +15°C / 59°F,B;A;,,,,,,,Gothenburg 
29,1/13/22 19:57:30,1/13/22 19:58:34,Rarely,Change the air intensity using the center display,,,V60 / S60 / XC60,,Right,Cold air blowing on you as the car is cooling down;,Cold : often below +15°C / 59°F,,,,,B;,,,Gothenburg
30,1/13/22 19:57:15,1/13/22 19:59:42,Sometimes,Change the air intensity using the center display,,,V60 / S60 / XC60,,Left,Too low air intensity;,Cold : often below +15°C / 59°F,,,,,A;,,,Stockholm
31,1/13/22 19:57:11,1/13/22 20:01:39,Rarely,Change the air intensity using the center display,,,V60 / S60 / XC60,,Right,You are cold and want more warm air blowing on you;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,B;,,,Göteborg
32,1/13/22 20:00:35,1/13/22 20:02:25,Rarely,Change the air intensity using the center display,,,V60 / S60 / XC60,,Right,You are warm and want more cold air blowing on you;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,C;D;,,,Skärhamn
33,1/13/22 20:07:54,1/13/22 20:08:17,Rarely,,,Change the air intensity using the center display,XC40,,,You are cold and want more warm air blowing on you;You are warm and want more cold air blowing on you;Too high air intensity;Too low air intensity;,Cold : often below +15°C / 59°F,,,,,,,,Lerum
34,1/13/22 20:11:24,1/13/22 20:12:38,Rarely,Move the air away from you,,,V60 / S60 / XC60,,Right,Too high air intensity;,Cold : often below +15°C / 59°F,,,,,B;,,,Kristianstad 
35,1/13/22 20:38:46,1/13/22 20:40:17,Rarely,Move the air away from you,,,V60 / S60 / XC60,,Right,You are warm and want more cold air blowing on you;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,B;,,,Lerum
36,1/13/22 20:44:58,1/13/22 20:46:49,Sometimes,Change the air intensity using the air vents,Little air,,V90 / S90,,,Too high air intensity;You are warm and want more cold air blowing on you;Cold air blowing on you as the car is cooling down;,Cold : often below +15°C / 59°F,,,A;B;,,,,,Göteborg
37,1/13/22 21:07:15,1/13/22 21:08:39,Rarely,,,,XC90,Move the air away from you,Down,Your eyes get dry;,Cold : often below +15°C / 59°F,A;B;,,,,,,,Olofström 
38,1/13/22 21:26:11,1/13/22 21:28:11,Rarely,Move the air away from you,,,V90 / S90,,Up,Cold air blowing on you as the car is cooling down;,Cold : often below +15°C / 59°F,,,,,B;,,,Göteborg
39,1/13/22 21:38:24,1/13/22 21:40:23,Rarely,Move the air away from you,,,V60 / S60 / XC60,,Left,Cold air blowing on you as the car is cooling down;Too high air intensity;,Cold : often below +15°C / 59°F,,,,,A;B;,,,Gothenburg
40,1/13/22 21:43:02,1/13/22 21:44:59,Rarely,Move the air away from you,,,V90 / S90,,Left,You are warm and want more cold air blowing on you;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,B;A;,,,Borås
41,1/13/22 21:48:23,1/13/22 21:49:41,Sometimes,Move the air away from you,,,V90 / S90,,Left,Cold air blowing on you as the car is cooling down;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,A;B;,,,Gothenburg
42,1/13/22 22:24:09,1/13/22 22:25:47,Rarely,Change the air intensity using the center display,,,V60 / S60 / XC60,,Up,Cold air blowing on you as the car is cooling down;,Cold : often below +15°C / 59°F,,,,,A;B;,,,Göteborg
43,1/13/22 22:28:37,1/13/22 22:31:18,Never,Move the air away from you,,,V60 / S60 / XC60,,"A : left, B: right",Too high air intensity;,Cold : often below +15°C / 59°F,,,,,A;B;,,,Göteborg
44,1/13/22 22:56:06,1/13/22 22:58:10,Rarely,Change the air intensity using the center display,,,V90 / S90,,"Towards respektive door window, left went towards left door window etc..",You are cold and want more warm air blowing on you;,Cold : often below +15°C / 59°F,,,,,A;D;,,,Gothenburg
45,1/14/22 2:11:31,1/14/22 2:13:21,Rarely,Move the air away from you,,,V60 / S60 / XC60,,Right,Cold air blowing on you as the car is cooling down;,Cold : often below +15°C / 59°F,,,,,B;,,,Göteborg
46,1/14/22 5:31:31,1/14/22 5:33:14,Rarely,Change the air intensity using the center display,,,V60 / S60 / XC60,,Left,You are cold and want more warm air blowing on you;,Cold : often below +15°C / 59°F,,,,,A;,,,Kungälv
47,1/14/22 6:02:44,1/14/22 6:10:27,Often,,,Change the air intensity using the center display,XC40,,,It's getting foggy on the windows.;,-15°C / 59°F to +25°C / +77°F,,,,,,,,Kungälv
48,1/14/22 6:22:51,1/14/22 6:24:45,Rarely,Change the air intensity using the air vents,Medium air,,V60 / S60 / XC60,,,Cold air blowing on you as the car is cooling down;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,B;C;,,,,,Näsum
49,1/14/22 6:26:35,1/14/22 6:29:37,Rarely,Change the air intensity using the center display,,,V60 / S60 / XC60,,Right,Too high air intensity;,Cold : often below +15°C / 59°F,,,,,B;,,,Trollhättan
50,1/14/22 6:30:37,1/14/22 6:33:04,Rarely,,,Change the air intensity using the center display,XC40,,,You are cold and want more warm air blowing on you;,Cold : often below +15°C / 59°F,,,,,,,,Partille
51,1/14/22 6:43:45,1/14/22 6:45:01,Never,Move the air away from you,,,V90 / S90,,Right,Cold air blowing on you as the car is cooling down;,Cold : often below +15°C / 59°F,,,,,B;,,,Stenungsund
52,1/14/22 6:43:00,1/14/22 6:47:09,Sometimes,,No air,Change the air intensity using the air vents,XC40,,,Too high air intensity;,often between -15C to + 25C,,,,,,B;,,Gothenburg
53,1/14/22 6:50:02,1/14/22 6:52:34,Never,Change the air intensity using the center display,,,V60 / S60 / XC60,,Right,You are cold and want more warm air blowing on you;,Cold : often below +15°C / 59°F,,,,,B;,,,Göteborg
54,1/14/22 6:50:03,1/14/22 6:55:40,Sometimes,i'm using the defroster button to get full air flow,,,V60 / S60 / XC60,,,Too low air intensity;Too high air intensity;,Cold : often below +15°C / 59°F,,,,,,,,Gothenburg
55,1/14/22 6:55:04,1/14/22 6:57:09,Rarely,Change the air intensity using the air vents,Medium air,,V60 / S60 / XC60,,,Too low air intensity;,Cold : often below +15°C / 59°F,,,A;B;,,,,,Göteborg
56,1/14/22 7:01:12,1/14/22 7:07:31,Sometimes,,,,XC90,Change the air intensity using the center display,,You are warm and want more cold air blowing on you;You are cold and want more warm air blowing on you;Too low air intensity;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,,,,Lerum
57,1/14/22 7:07:04,1/14/22 7:11:44,Sometimes,Change the air intensity using the center display,,,V90 / S90,,Right,Different usage of system as such between me and my wife who who share the car. She often manually tune the preformance and I prefer the system autonomy;,Cold : often below +15°C / 59°F,,,,,B;,,,Göteborg
58,1/14/22 7:10:57,1/14/22 7:13:09,Rarely,,,Move the air away from you,XC40,,Left,Your eyes get dry;You are warm and want more cold air blowing on you;Cold air blowing on you as the car is cooling down;Too low air intensity;,Cold : often below +15°C / 59°F,,,,A;,,,,Gothenburg
59,1/14/22 7:19:49,1/14/22 7:21:36,Rarely,,,Change the air intensity using the center display,XC40,,,Too high air intensity;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,,,,Gothenburg
60,1/14/22 7:29:40,1/14/22 7:31:52,Rarely,Move the air away from you,,,V90 / S90,,Up,You are warm and want more cold air blowing on you;Your eyes get dry;Cold air blowing on you as the car is cooling down;,Cold : often below +15°C / 59°F,,,,,A;B;,,,Kungsbacka
61,1/14/22 7:30:10,1/14/22 7:32:17,Sometimes,,,Change the air intensity using the center display,XC40,,,Get warm air to the cold window (imma);,Cold : often below +15°C / 59°F,,,,,,,,Bromölla
62,1/14/22 7:30:01,1/14/22 7:33:39,Rarely,,,Change the air intensity using the center display,XC40,,,You are warm and want more cold air blowing on you;,Mixed between -10 / +25,,,,,,,,Gothenburg
63,1/14/22 7:31:15,1/14/22 7:33:42,Rarely,Change the air intensity using the air vents,Medium air,,V90 / S90,,,You are warm and want more cold air blowing on you;,Cold : often below +15°C / 59°F,,,B;,,,,,gothenburg
64,1/14/22 7:34:57,1/14/22 7:37:28,Rarely,Move the air away from you,,,V90 / S90,,up and away,someone else has changed the vents;,Cold : often below +15°C / 59°F,,,,,A;C;B;,,,Gothenburg
65,1/14/22 7:43:01,1/14/22 7:44:13,Sometimes,,,Change the air intensity using the center display,XC40,,,Too low air intensity;,Cold : often below +15°C / 59°F,,,,,,,,Göteborg
66,1/14/22 7:45:46,1/14/22 7:57:50,Rarely,Move the air away from you,,,V60 / S60 / XC60,,Left,Cold air blowing on you as the car is cooling down;,Cold : often below +15°C / 59°F,,,,,A;,,,Göteborg
67,1/14/22 7:55:07,1/14/22 7:58:01,Rarely,,,Move the air away or adjust the temperature to a more realistic. If it is +27 outside I do not set +18 in the car but maybe +22.,XC40,,,Cold air blowing on you as the car is cooling down;,Cold : often below +15°C / 59°F,,,,,,,,Göteborg
68,1/14/22 7:55:02,1/14/22 7:59:08,Rarely,,,,XC90,Move the air away from you,Right,Cold air blowing on you as the car is cooling down;,Cold : often below +15°C / 59°F,B;,,,,,,,Mölndal
69,1/14/22 7:57:56,1/14/22 8:00:09,Rarely,Change the air intensity using the center display,,,V90 / S90,,Down,Too high air intensity;,Cold : often below +15°C / 59°F,,,,,A;B;,,,Gothenburg
70,1/14/22 7:55:56,1/14/22 8:00:16,Never,Move the air away from you,,,V90 / S90,," Up, towards roof the ones in the centre and those on the sides up and towards the side windows.",Cold air blowing on you as the car is cooling down;,-20 to 30,,,,,A;B;C;D;,,,Hedares
71,1/14/22 7:59:41,1/14/22 8:02:11,Sometimes,Move the air away from you,,,V60 / S60 / XC60,,Up,You are warm and want more cold air blowing on you;Warm air blowing on you as the car is heating up;You are cold and want more warm air blowing on you;,Cold : often below +15°C / 59°F,,,,,B;,,,Kungälv
72,1/14/22 8:02:02,1/14/22 8:03:17,Rarely,,,Change the air intensity using the center display,XC40,,,You are cold and want more warm air blowing on you;,Cold : often below +15°C / 59°F,,,,,,,,"Gothenburg, Sweden"
73,1/14/22 8:08:34,1/14/22 8:11:20,Rarely,,No air,Change the air intensity using the air vents,XC40,,,Cold air blowing on you as the car is cooling down;Your eyes get dry;,Cold : often below +15°C / 59°F,,,,,,B;C;,,Göteborg
74,1/14/22 8:10:47,1/14/22 8:13:27,Sometimes,Change the air intensity using the center display,,,V60 / S60 / XC60,,Left,Cold air blowing on you as the car is cooling down;Too high air intensity;,Cold : often below +15°C / 59°F,,,,,A;B;,,,Varberg
75,1/14/22 8:09:46,1/14/22 8:13:54,Sometimes,Change the air intensity using the center display,,,V60 / S60 / XC60,,Right,"When cold, I increase air to heat up the coupe, no air stream straight at me.;",Cold : often below +15°C / 59°F,,,,,B;,,,Gothenburg (Partille)
76,1/14/22 8:11:41,1/14/22 8:14:48,Rarely,,,,XC90,Move the air away from you,A left B & C right,Cold air blowing on you as the car is cooling down;Warm air blowing on you as the car is heating up;Your eyes get dry;,It depends on summer or winter,A;B;C;,,,,,,,Frankfurt Germany
77,1/14/22 8:16:58,1/14/22 8:19:00,Rarely,Change the air intensity using the center display,,,V60 / S60 / XC60,,Right,You are warm and want more cold air blowing on you;You are cold and want more warm air blowing on you;Too low air intensity;Your eyes get dry;,Cold : often below +15°C / 59°F,,,,,B;,,,gothenburg
78,1/14/22 8:19:45,1/14/22 8:21:36,Rarely,Move the air away from you,,,V60 / S60 / XC60,,Down,You are warm and want more cold air blowing on you;,Cold : often below +15°C / 59°F,,,,,B;,,,Gothenburg
79,1/14/22 8:21:19,1/14/22 8:25:11,Rarely,Move the air away from you,,,V90 / S90,,A to left. B to right.,Cold air blowing on you as the car is cooling down;Too high air intensity;You are warm and want more cold air blowing on you;,Cold : often below +15°C / 59°F,,,,,A;B;,,,Gothenburg
80,1/14/22 8:22:37,1/14/22 8:28:13,Rarely,Change the air intensity using the air vents,Little air,,V60 / S60 / XC60,,,You are warm and want more cold air blowing on you;You are cold and want more warm air blowing on you;,"Swedish climate, depends on yearly variations. Can be between -10 and +10 during winter and +5 and +30 during summer and all between",,,A;B;,,,,,Göteborg
81,1/14/22 8:25:20,1/14/22 8:28:29,Rarely,Move the air away from you,,,V90 / S90,,Right,You are warm and want more cold air blowing on you;,Cold : often below +15°C / 59°F,,,,,B;,,,Göteborg
