ID,Start time,Completion time,How often do you change the air flow in your car?,"Lets say that you are sitting in your car, ready to drive to work, and you think it blows too much from the air vents, what do you do?","When you change, do you usually change to","Lets say that you are sitting in your car, ready to drive to work, and you think it blows too much from the air vents, what do you do?2",What kind of car do you drive the most?,"Lets say that you are sitting in your car, ready to drive to work, and you think it blows too much from the air vents, what do you do?3",What direction du you usually move them?,"If you change, what is usually the main reason?2",How is the weather where you live?,Which air vents do you usually move away from you?,"When you move the air, which air vents do you change?",Which air vents do you usually change?,Which air vents do you usually move away from you?3,Which air vents do you usually move away from you?2,Which air vents do you usually change?,Which air vents do you usually change?2,Which city do you live in?
161,1/14/22 15:25:16,1/14/22 15:28:47,Sometimes,Move the air away from you,,,V90 / S90,,"A - left, B - right",Your eyes get dry;You are warm and want more cold air blowing on you;You are cold and want more warm air blowing on you;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,A;B;,,,Maryville
162,1/14/22 15:36:13,1/14/22 15:37:31,Rarely,Move the air away from you,,,V60 / S60 / XC60,,Up,Cold air blowing on you as the car is cooling down;,Cold : often below +15°C / 59°F,,,,,B;,,,"Ramsey, New Jersey"
163,1/14/22 15:40:00,1/14/22 15:43:24,Rarely,Change the air intensity using the center display,,,V60 / S60 / XC60,,A gets moved left and B moved right,Cold air blowing on you as the car is cooling down;,Cold : often below +15°C / 59°F,,,,,A;B;,,,Chicago Illinois
164,1/14/22 15:36:24,1/14/22 15:43:40,Sometimes,,,,XC90,Change the air intensity using the center display,,The windscreen and side windows start to get foggy if air circulation is on (bring air from outside);,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,,,,"Nyack, New York"
165,1/14/22 15:42:24,1/14/22 15:45:12,Rarely,Change the air intensity using the center display,,,V60 / S60 / XC60,,Right,You are warm and want more cold air blowing on you;,Cold : often below +15°C / 59°F,,,,,A;B;C;,,,Butler Pa
166,1/14/22 15:54:28,1/14/22 16:00:02,Sometimes,Move the air away from you,,,V60 / S60 / XC60,,Left,You are warm and want more cold air blowing on you;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,A;,,,Scarsdale
167,1/14/22 16:05:56,1/14/22 16:07:25,Often,Change the air intensity using the air vents,Medium air,,V90 / S90,,,Your eyes get dry;Too high air intensity;You are cold and want more warm air blowing on you;Cold air blowing on you as the car is cooling down;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,A;B;,,,,,Mahwah
168,1/14/22 16:19:23,1/14/22 16:20:33,Rarely,,,,XC90,Change the air intensity using the center display,,You are warm and want more cold air blowing on you;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,,,,Warwick NY
169,1/14/22 16:08:53,1/14/22 16:27:35,Never,"I do nothing its on ""auto""",,,V90 / S90,,,I turn windscreen defrost on/off;,range from 0 - 100 F,,,,,,,,New York
170,1/14/22 16:36:59,1/14/22 16:42:33,Sometimes,,,,XC90,Change the air intensity using the center display,,"Enter hot car. High blower speed comes on. Cannot hear phone conversation. Turn blower down manually. The problem is that after the phone call I want to press ""auto"" and restore the high fan spped that is required to cool the car but it does not do that. Seems that once auto setting is over-ridden it is hard to get back to auto setting as could be done with P3 and other earlier models. ;",Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,,,,"Colorado Springs, CO"
171,1/14/22 16:40:52,1/14/22 16:42:49,Often,,,Move the air away from you,XC40,,Left,Too high air intensity;You are warm and want more cold air blowing on you;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,A;B;,,,,Irvine
172,1/14/22 16:46:02,1/14/22 16:51:15,Rarely,Change the air intensity using the center display,,,V90 / S90,,A Left: B Right,Cold air blowing on you as the car is cooling down;,-10C / +25C,,,,,A;B;,,,Torslanda
173,1/14/22 17:08:23,1/14/22 17:10:22,Often,,,Change the air intensity using the center display,XC40,,,Too high air intensity;,Cold : often below +15°C / 59°F,,,,,,,,"Monument, Colorado"
174,1/14/22 17:15:26,1/14/22 17:17:24,Sometimes,,,Change Temperature,XC40,,,You are warm and want more cold air blowing on you;,Warm: often above +25°C / +77°F,,,,,,,,Chino CA
175,1/14/22 15:21:09,1/14/22 17:21:08,Sometimes,Change the air intensity using the center display,,,V90 / S90,,Right,the car gas reached the right temp or the noise it too loud;,depends on the seasons. winter is closer to 0C,,,,,B;,,,"Nanuet, NY"
176,1/14/22 17:24:49,1/14/22 17:28:12,Rarely,,,,XC90,Both 1 & 3 here,,Too high air intensity;,Cold : often below +15°C / 59°F,,,,,,,,Göteborg
177,1/14/22 17:34:33,1/14/22 17:36:35,Sometimes,,,Change the air intensity using the center display,XC40,,,You are warm and want more cold air blowing on you;,Warm: often above +25°C / +77°F,,,,,,,,"Ladera Ranch, California"
178,1/14/22 18:38:58,1/14/22 18:46:25,Never,Move the air away from you,,,V90 / S90,,Right,"I don't change the air flow. If I change anything it would be the temperature, then I let the system do it's job. If the air blows to much towards my face I just move the vent.;",Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,B;,,,"Milpitas, California."
179,1/14/22 15:43:02,1/14/22 19:33:04,Rarely,Change the air intensity using the center display,,,V90 / S90,,Right,You are warm and want more cold air blowing on you;You are cold and want more warm air blowing on you;,Cold : often below +15°C / 59°F,,,,,B;,,,"Shrewsbury, MA"
180,1/14/22 19:36:31,1/14/22 19:37:34,Sometimes,Change the air intensity using the center display,,,V60 / S60 / XC60,,Up,You are warm and want more cold air blowing on you;,Cold : often below +15°C / 59°F,,,,,A;B;,,,Rye
181,1/14/22 19:52:30,1/14/22 19:55:46,Rarely,,,Change the air intensity using the center display,XC40,,,You are warm and want more cold air blowing on you;,Cold : often below +15°C / 59°F,,,,,,,,New York
182,1/14/22 20:11:26,1/14/22 20:13:33,Sometimes,Change the air intensity using the center display,,,V60 / S60 / XC60,,Up,Too high air intensity;,Cold : often below +15°C / 59°F,,,,,A;B;,,,Warwick N.Y.
183,1/14/22 21:01:33,1/14/22 21:03:43,Sometimes,Change blower intensity or adjust temp up or down to slow fan speed (in auto setting),,,V90 / S90,,,You are warm and want more cold air blowing on you;You are cold and want more warm air blowing on you;,Mixed and 8 months of precipitation,,,,,,,,"Washougal, WA"
184,1/14/22 21:57:27,1/14/22 21:59:10,Sometimes,,,,XC90,Move the air away from you,Up,You are warm and want more cold air blowing on you;Cold air blowing on you as the car is cooling down;You are cold and want more warm air blowing on you;,Mixed -10F to 100F,A;B;,,,,,,,"Merrillville, IN"
185,1/14/22 22:36:16,1/14/22 22:53:31,Sometimes,Move the air away from you,,,V60 / S60 / XC60,, Left for A and Right for B ,You are cold and want more warm air blowing on you;You are warm and want more cold air blowing on you;,The weather here varies from below from below 59 to above 77 throughout the year ,,,,,A;B;,,,"Suffern, New York USA "
186,1/14/22 23:00:45,1/14/22 23:03:01,Rarely,Change the air intensity using the center display,,,V90 / S90,,Left,Your eyes get dry;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,A;,,,"Redwood City, CA"
187,1/14/22 23:21:12,1/14/22 23:25:53,Often,,,Change the air intensity using the center display,XC40,,,"It changes every day, depending time of day and year. In the morning I need to clear fog, in the afternoon I need to cool off, in the evening I need to heat up. ;",Very mixed: the temperature is often 50F-90F but ranges from 32F-110F throughout the year,,,,,,,,Oakland
188,1/15/22 5:44:21,1/15/22 5:46:30,Sometimes,Change the air intensity using the center display,,,V90 / S90,,Right,Cold air blowing on you as the car is cooling down;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,B;,,,Orange
189,1/15/22 13:59:52,1/15/22 14:01:17,Sometimes,Move the air away from you,,,V60 / S60 / XC60,,Up,You are cold and want more warm air blowing on you;You are warm and want more cold air blowing on you;,Cold : often below +15°C / 59°F,,,,,B;,,,Göteborg 
190,1/16/22 2:48:17,1/16/22 2:51:20,Sometimes,,,,XC90,Change the air intensity using the center display,,Too high air intensity;,Warm: often above +25°C / +77°F,,,,,,,,Rancho Santa Margarita CA 92688
191,1/16/22 9:00:31,1/16/22 9:02:52,Sometimes,,,Change the air intensity using the center display,XC40,,,Too low air intensity;You are cold and want more warm air blowing on you;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,,,,Gothenburg
192,1/16/22 15:01:20,1/16/22 15:02:39,Rarely,Change the air intensity using the air vents,No air,,V90 / S90,,,Cold air blowing on you as the car is cooling down;,Cold : often below +15°C / 59°F,,,B;,,,,,Göteborg 
193,1/16/22 15:35:35,1/16/22 15:38:09,Rarely,Move the air away from you,,,V90 / S90,,Right,Cold air blowing on you as the car is cooling down;,Cold : often below +15°C / 59°F,,,,,B;,,,Göteborg
194,1/16/22 21:14:38,1/16/22 21:18:20,Sometimes,Change the air intensity using the center display,,,V60 / S60 / XC60,,Left,Too high air intensity;,Cold : often below +15°C / 59°F,,,,,A;,,,Mölndal
195,1/16/22 22:10:34,1/16/22 22:11:39,Sometimes,,,,XC90,Change the air intensity using the center display,,Too low air intensity;,Cold : often below +15°C / 59°F,,,,,,,,Goteborg 
196,1/17/22 7:09:48,1/17/22 7:10:44,Rarely,Change the air intensity using the center display,,,V60 / S60 / XC60,,Left,Too high air intensity;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,A;,,,Kungälv
197,1/17/22 7:40:15,1/17/22 7:43:16,Rarely,Change the air intensity using the center display,,,V60 / S60 / XC60,,"To the sides, eg. left to left, right to right.",Cold air blowing on you as the car is cooling down;,Cold : often below +15°C / 59°F,,,,,A;B;C;,,,Göteborg
198,1/17/22 8:09:59,1/17/22 8:11:17,Sometimes,Change the air intensity using the center display,,,V90 / S90,,Down,You are cold and want more warm air blowing on you;You are warm and want more cold air blowing on you;,Cold : often below +15°C / 59°F,,,,,A;B;,,,Gothenburg
199,1/17/22 8:24:59,1/17/22 8:26:52,Rarely,Move the air away from you,,,V60 / S60 / XC60,,Right,Cold air blowing on you as the car is cooling down;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,B;,,,Gothenburg
200,1/17/22 8:36:50,1/17/22 8:38:50,Sometimes,Change the air intensity using the center display,,,V60 / S60 / XC60,,Down,You are warm and want more cold air blowing on you;Too high air intensity;,Cold : often below +15°C / 59°F,,,,,A;B;,,,Göteborg
201,1/17/22 8:58:38,1/17/22 9:01:39,Sometimes,Change the air intensity using the center display,,,V90 / S90,, left and right,You are warm and want more cold air blowing on you;,Cold : often below +15°C / 59°F,,,,,A;B;,,,Göteborg
202,1/17/22 9:06:33,1/17/22 9:08:30,Rarely,Change the air intensity using the center display,,,V60 / S60 / XC60,,Down,You are cold and want more warm air blowing on you;You are warm and want more cold air blowing on you;,Cold : often below +15°C / 59°F,,,,,B;,,,Gothenburg
203,1/17/22 9:31:34,1/17/22 9:33:14,Rarely,Change the air intensity using the center display,,,V60 / S60 / XC60,,Right,Cold air blowing on you as the car is cooling down;Your eyes get dry;,Cold : often below +15°C / 59°F,,,,,A;B;,,,Trollhättan
204,1/17/22 9:26:12,1/17/22 9:33:30,Rarely,Move the air away from you,,,V60 / S60 / XC60,,Up,Too high air intensity;,Cold : often below +15°C / 59°F,,,,,A;B;,,,Gothenburg
205,1/17/22 9:57:55,1/17/22 9:59:14,Sometimes,,,,XC90,Change the air intensity using the center display,,Too low air intensity;Too high air intensity;,Cold : often below +15°C / 59°F,,,,,,,,Gothenburg
206,1/17/22 9:58:51,1/17/22 10:02:53,Rarely,Change the air intensity using the center display,,,V60 / S60 / XC60,,Up,Too high air intensity;,Cold : often below +15°C / 59°F,,,,,A;B;,,,Gothenburg
207,1/17/22 13:17:07,1/17/22 13:18:48,Rarely,Change the air intensity using the center display,,,V60 / S60 / XC60,,Up,You are warm and want more cold air blowing on you;,Cold : often below +15°C / 59°F,,,,,A;B;,,,Kennett Square
208,1/17/22 15:10:46,1/17/22 15:15:42,Often,Move the air away from you,,,V90 / S90,,A left/B right/C left/ D right,Your eyes get dry;depends on the temperature;,-5/+25,,,,,A;D;B;,,,Göteborg
209,1/17/22 21:37:08,1/17/22 21:38:07,Often,,,Change the air intensity using the center display,XC40,,,its noisy;You are cold and want more warm air blowing on you;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,,,,nyack
210,1/18/22 1:06:17,1/18/22 1:15:35,Rarely,"move and change the air went. Both 1, 2",,,V60 / S60 / XC60,,,Cold air blowing on you as the car is cooling down;,Mixed 9 moths cold  3months maybe warm,,,,,,,,Gothenburg
211,1/18/22 1:35:50,1/18/22 1:37:07,Rarely,Change the air intensity using the center display,,,V60 / S60 / XC60,,Right,You are warm and want more cold air blowing on you;,All Temperatures,,,,,B;,,,"Vernon, NJ"
212,1/18/22 10:12:48,1/18/22 10:14:42,Rarely,,,Change the air intensity using the center display,XC40,,,Cold air blowing on you as the car is cooling down;,Cold : often below +15°C / 59°F,,,,,,,,Uddevalla
213,1/18/22 13:19:55,1/18/22 13:23:41,Sometimes,Move the air away from you,,,V60 / S60 / XC60,,Down,Cold air blowing on you as the car is cooling down;You are cold and want more warm air blowing on you;Too high air intensity;Your eyes get dry;,Cold : often below +15°C / 59°F,,,,,A;B;,,,Alingsås
214,1/18/22 13:37:37,1/18/22 13:39:54,Sometimes,Change the air intensity using the center display,,,V60 / S60 / XC60,,A to left and B to right,Cold air blowing on you as the car is cooling down;,Cold : often below +15°C / 59°F,,,,,A;B;,,,Gothenburg
215,1/18/22 14:03:49,1/18/22 14:08:30,Rarely,Always on auto,,,V60 / S60 / XC60,,,the window get misty;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,,,,Sölvesborg
216,1/18/22 14:13:07,1/18/22 14:17:47,Rarely,Change the air intensity using the center display,,,V90 / S90,,Up,Warm air blowing on you as the car is heating up;,Cold : often below +15°C / 59°F,,,,,B;,,,Trollhättan
217,1/18/22 14:39:35,1/18/22 14:41:41,Rarely,Change the air intensity using the center display,,,V60 / S60 / XC60,,Up,Your eyes get dry;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,B;C;,,,Gothenburg
218,1/18/22 16:06:52,1/18/22 16:10:12,Rarely,,,,XC90,"adjust the temp, i use auto climate mostly,  vents are not directly aimed at me during winter months",,Cold air blowing on you as the car is cooling down;Warm air blowing on you as the car is heating up;,Cold : often below +15°C / 59°F,,,,,,,,Seattle Washington
219,1/18/22 16:22:05,1/18/22 16:23:26,Rarely,Change the air intensity using the center display,,,V60 / S60 / XC60,,Up,Your eyes get dry;Too high air intensity;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,A;B;,,,Mahwah
220,1/18/22 16:23:24,1/18/22 16:26:06,Sometimes,Change the air intensity using the center display,,,V60 / S60 / XC60,,Right,Too high air intensity;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,B;,,,Riverdale N.J USA
221,1/18/22 17:39:07,1/18/22 17:41:34,Often,,,,XC90,Change the air intensity using the center display,,Cold air blowing on you as the car is cooling down;,Warm: often above +25°C / +77°F,,,,,,,,charleston
222,1/18/22 19:14:53,1/18/22 19:15:47,Often,Move the air away from you,,,V60 / S60 / XC60,,Left,Too high air intensity;,Warm: often above +25°C / +77°F,,,,,A;B;,,,Los Gatos
223,1/18/22 19:47:11,1/18/22 19:48:30,Often,,,Change the air intensity using the center display,XC40,,,Too low air intensity;,Warm: often above +25°C / +77°F,,,,,,,,charleston
224,1/18/22 19:57:34,1/18/22 19:58:53,Sometimes,,,,XC90,Change the air intensity using the center display,,Too high air intensity;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,,,,Gothenburg
225,1/18/22 21:19:28,1/18/22 21:24:28,Sometimes,Change the air intensity using the center display,,,V90 / S90,,Left,Cold air blowing on you as the car is cooling down;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,A;,,,Whittier
226,1/19/22 0:54:20,1/19/22 0:55:21,Rarely,,,Change the air intensity using the center display,XC40,,,Too high air intensity;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,,,,New York 
227,1/19/22 1:17:40,1/19/22 1:19:05,Sometimes,Change the air intensity using the center display,,,V60 / S60 / XC60,,Right,Cold air blowing on you as the car is cooling down;,Warm: often above +25°C / +77°F,,,,,B;,,,Irvine
228,1/19/22 1:55:37,1/19/22 1:57:36,Never,,,Change the air intensity using the center display,XC40,,,You are warm and want more cold air blowing on you;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,,,,"Union City, CA"
229,1/19/22 13:25:55,1/19/22 13:27:26,Rarely,Change the air intensity using the center display,,,V60 / S60 / XC60,,Up,You are cold and want more warm air blowing on you;,Cold : often below +15°C / 59°F,,,,,A;B;,,,Gothenburg
230,1/19/22 13:39:57,1/19/22 13:44:24,Rarely,,,,XC90,Change the air intensity using the center display,,You are warm and want more cold air blowing on you;Warm air blowing on you as the car is heating up;,Cold : often below +15°C / 59°F,,,,,,,,Gothenburg
231,1/19/22 16:01:22,1/19/22 16:02:31,Often,Change the air intensity using the center display,,,V90 / S90,,Down,Too high air intensity;,Cold : often below +15°C / 59°F,,,,,A;B;,,,Göteborg
232,1/19/22 16:30:45,1/19/22 16:40:48,Sometimes,Move the air away from you,,,V90 / S90,,"oneA to the left, and B to the right (away from me)",You are cold and want more warm air blowing on you;,Cold : often below +15°C / 59°F,,,,,A;B;,,,Göteborg
233,1/20/22 11:46:16,1/20/22 11:48:38,Sometimes,,Little air,,XC90,Change the air intensity using the air vents,,Your eyes get dry;You are cold and want more warm air blowing on you;,Cold : often below +15°C / 59°F,,,,,,,A;B;,Landvetter
234,1/20/22 13:56:46,1/20/22 13:59:26,Sometimes,Change the air intensity using the air vents,Medium air,,V90 / S90,,,You are warm and want more cold air blowing on you;Cold air blowing on you as the car is cooling down;,Cold : often below +15°C / 59°F,,,A;B;C;,,,,,Lerum
235,1/20/22 23:28:07,1/20/22 23:30:32,Sometimes,Move the air away from you,,,V60 / S60 / XC60,,Right,Too low air intensity;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,B;,,,Göteborg 
236,1/21/22 7:04:03,1/21/22 7:10:03,Sometimes,Change the air intensity using the air vents,No air,,V60 / S60 / XC60,,,Your eyes get dry;,Cold : often below +15°C / 59°F,,,B;C;,,,,,gotenburg
237,1/21/22 7:35:42,1/21/22 7:38:35,Sometimes,Move the air away from you,,,V60 / S60 / XC60,,Left,You are cold and want more warm air blowing on you;You are warm and want more cold air blowing on you;,Cold : often below +15°C / 59°F,,,,,A;,,,Göteborg
238,1/21/22 15:33:18,1/21/22 15:35:31,Sometimes,Change the air intensity using the center display,,,V60 / S60 / XC60,,Right,Too high air intensity;Defrosting the inside of the windscreen (I often drive in Pure mode);,Depends on the season,,,,,B;,,,Goteborg
239,1/21/22 16:16:27,1/21/22 16:18:44,Never,,,Move the air away from you,XC40,, Up left and Up right ,Cold air blowing on you as the car is cooling down;,Warm: often above +25°C / +77°F,,,,A;B;,,,,Phoenix AZ USA 
240,1/21/22 22:11:23,1/21/22 22:28:45,Often,Change the air intensity using the center display,,,V60 / S60 / XC60,,My answer to question 5 is only a guess since I rarely move the air vents and can't recall which ones I move usually (I usually just adjust the air intensity through the center display),Reasons vary due to the varied climate in the area that I live in;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,A;B;,,,"River Vale, New Jersey (United States)"
241,1/24/22 0:18:29,1/24/22 0:19:46,Rarely,Change the air intensity using the center display,,,V60 / S60 / XC60,,Up,Warm air blowing on you as the car is heating up;,Cold : often below +15°C / 59°F,,,,,A;B;,,,Olofström
